iter	RMSE
0	8.073316065
1	7.913470409
2	7.736199895
3	7.594177776
4	7.444289426
5	7.30619398
6	7.167755988
7	7.029463328
8	6.908755497
9	6.792283996
10	6.676723244
11	6.565198084
12	6.458514673
13	6.370621868
14	6.296732951
15	6.224837172
16	6.141717445
17	6.067176993
18	5.983497514
19	5.908671249
20	5.830890306
21	5.76312573
22	5.702224321
23	5.64674138
24	5.590477337
25	5.53358316
26	5.482426661
27	5.439324156
28	5.388426988
29	5.355070082
30	5.318938388
31	5.28259867
32	5.249809066
33	5.213200969
34	5.188527802
35	5.15684124
36	5.131963006
37	5.101685262
38	5.080416731
39	5.055506486
40	5.033198254
41	5.012799189
42	4.991047293
43	4.970910089
44	4.953862144
45	4.932384018
46	4.91658366
47	4.903218178
48	4.88904487
49	4.872627844
50	4.861578531
51	4.846739036
52	4.833236028
53	4.816572961
54	4.80353914
55	4.794877585
56	4.784873283
57	4.775501421
58	4.765092424
59	4.756075869
60	4.750745105
61	4.744578307
62	4.734822005
63	4.728398864
64	4.719927834
65	4.712226284
66	4.708385077
67	4.703138205
68	4.697444086
69	4.689718083
70	4.683876119
71	4.677221952
72	4.667119215
73	4.658775224
74	4.650860657
75	4.642848541
76	4.641484287
77	4.634109443
78	4.629003562
79	4.624653983
80	4.620908307
81	4.613929735
82	4.610025331
83	4.603171638
84	4.597682433
85	4.589920896
86	4.588458247
87	4.583608156
88	4.580619538
89	4.578418046
90	4.572282011
91	4.570347416
92	4.563876671
93	4.560865846
94	4.556803731
95	4.549320042
96	4.54379052
97	4.536223932
98	4.535607251
99	4.528354689
100	4.52093887
101	4.516222439
102	4.511227012
103	4.506421336
104	4.497904142
105	4.493561917
106	4.486440559
107	4.48353126
108	4.481514153
109	4.477921184
110	4.470330954
111	4.465555351
112	4.465555272
113	4.4606002
114	4.455957476
115	4.44920631
116	4.443005622
117	4.442684172
118	4.438975911
119	4.435604697
120	4.434914191
121	4.429871966
122	4.426136366
123	4.418716967
124	4.416788964
125	4.413152713
126	4.412791531
127	4.409777839
128	4.405805647
129	4.401815832
130	4.397564878
131	4.395647161
132	4.392071948
133	4.384998503
134	4.382231718
135	4.379778422
136	4.373568533
137	4.36985022
138	4.367999675
139	4.364481088
140	4.364148526
141	4.362120547
142	4.359743103
143	4.355144272
144	4.351691169
145	4.346516153
146	4.342102264
147	4.340619227
148	4.335747915
149	4.335747877
150	4.334401202
151	4.33077393
152	4.327884776
153	4.324675262
154	4.323171266
155	4.318775767
156	4.3170367
157	4.3150622
158	4.313430055
159	4.310972454
160	4.300976799
161	4.298308453
162	4.297291309
163	4.293958945
164	4.293932842
165	4.289710138
166	4.287034854
167	4.284601783
168	4.280012243
169	4.276196442
170	4.273622795
171	4.271084305
172	4.267073214
173	4.264323429
174	4.261702666
175	4.260216761
176	4.260197859
177	4.259330922
178	4.257840623
179	4.257840612
180	4.257149431
181	4.255601808
182	4.254000372
183	4.252571555
184	4.251531424
185	4.244793568
186	4.240254105
187	4.240254102
188	4.239203373
189	4.237129078
190	4.232533286
191	4.232533283
192	4.227626252
193	4.227239245
194	4.224343899
195	4.222769948
196	4.221236697
197	4.218389364
198	4.217921827
199	4.215713119
200	4.211685471
201	4.21140814
202	4.209621437
203	4.208740674
204	4.207054763
205	4.205867489
206	4.204710583
207	4.204574684
208	4.201620934
209	4.200327643
210	4.199807806
211	4.19903801
212	4.197754182
