iter	Passed	Remaining
0	150	150330
1	168	83904
2	185	61512
3	196	48837
4	214	42633
5	233	38701
6	252	35792
7	275	34130
8	291	32079
9	307	30436
10	323	29101
11	341	28113
12	370	28112
13	387	27323
14	404	26577
15	422	26000
16	439	25422
17	455	24848
18	471	24333
19	487	23873
20	504	23497
21	520	23126
22	533	22670
23	549	22344
24	565	22041
25	582	21816
26	598	21567
27	614	21327
28	630	21109
29	638	20656
30	654	20465
31	670	20273
32	685	20096
33	701	19936
34	714	19700
35	730	19566
36	747	19451
37	770	19501
38	786	19380
39	802	19262
40	818	19143
41	834	19043
42	851	18942
43	868	18869
44	884	18771
45	901	18689
46	916	18586
47	932	18501
48	949	18434
49	965	18346
50	981	18270
51	998	18205
52	1029	18402
53	1046	18334
54	1062	18248
55	1078	18175
56	1092	18080
57	1107	17985
58	1122	17898
59	1136	17810
60	1153	17750
61	1168	17678
62	1183	17606
63	1198	17527
64	1216	17499
65	1231	17427
66	1246	17364
67	1261	17293
68	1279	17263
69	1294	17198
70	1308	17125
71	1323	17060
72	1338	16993
73	1354	16946
74	1369	16885
75	1383	16822
76	1396	16737
77	1411	16680
78	1426	16626
79	1441	16580
80	1456	16523
81	1471	16469
82	1486	16422
83	1501	16376
84	1519	16353
85	1533	16303
86	1542	16188
87	1557	16139
88	1572	16091
89	1587	16050
90	1602	16009
91	1617	15962
92	1632	15920
93	1646	15873
94	1661	15831
95	1677	15791
96	1691	15746
97	1706	15703
98	1713	15596
99	1728	15559
100	1743	15520
101	1759	15486
102	1776	15471
103	1790	15429
104	1805	15391
105	1820	15355
106	1835	15319
107	1851	15289
108	1866	15254
109	1882	15229
110	1897	15194
111	1911	15158
112	1917	15049
113	1932	15015
114	1947	14990
115	1963	14963
116	1978	14931
117	1986	14848
118	2001	14817
119	2019	14808
120	2029	14745
121	2044	14713
122	2059	14685
123	2074	14656
124	2089	14626
125	2104	14598
126	2119	14571
127	2134	14541
128	2149	14511
129	2164	14482
130	2178	14451
131	2193	14421
132	2208	14396
133	2223	14370
134	2236	14327
135	2252	14312
136	2268	14289
137	2288	14294
138	2308	14297
139	2326	14294
140	2337	14237
141	2357	14246
142	2380	14265
143	2404	14294
144	2427	14311
145	2448	14319
146	2468	14321
147	2488	14327
148	2512	14352
149	2519	14277
150	2539	14277
151	2556	14261
152	2572	14241
153	2590	14228
154	2606	14210
155	2623	14193
156	2639	14171
157	2655	14149
158	2670	14122
159	2686	14103
160	2706	14103
161	2750	14228
162	2768	14218
163	2787	14208
164	2795	14148
165	2811	14125
166	2826	14100
